Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,184.71970624923705,480.34565883550636,0,0,"[{""Position"":{""X"":1.3139090878581962E-15,""Y"":21.457763802150804}},{""Position"":{""X"":69.45359872455234,""Y"":21.457763802150804}},{""Position"":{""X"":69.45359872455234,""Y"":31.95267009700435}},{""Position"":{""X"":51.43940219818036,""Y"":49.966866623376326}},{""Position"":{""X"":64.91085427427498,""Y"":49.966866623376326}}]"
0,286.4153733253479,940.100326785877,0,0,"[{""Position"":{""X"":-20.468134223371315,""Y"":20.46813422337132}},{""Position"":{""X"":-20.46813422337131,""Y"":57.074687576163186}},{""Position"":{""X"":15.230898046202821,""Y"":92.77371984573732}},{""Position"":{""X"":60.18724497705243,""Y"":137.73006677658694}},{""Position"":{""X"":-43.355591773986816,""Y"":150.44116401672363}}]"
0,277.97583413124084,542.9826146968365,0,0,"[{""Position"":{""X"":-10.033027982681443,""Y"":10.033027982681443}},{""Position"":{""X"":33.73335539013634,""Y"":10.033027982681443}},{""Position"":{""X"":55.712261917081534,""Y"":32.011934509626634}},{""Position"":{""X"":76.76521748872968,""Y"":32.011934509626634}},{""Position"":{""X"":96.86025606598773,""Y"":52.10697308688468}}]"
0,185.09847679138184,554.1855334593513,0,0,"[{""Position"":{""X"":-28.85971387178135,""Y"":28.859713871781352}},{""Position"":{""X"":-8.962310501997713,""Y"":28.859713871781352}},{""Position"":{""X"":55.98861537825352,""Y"":28.859713871781352}},{""Position"":{""X"":55.98861537825352,""Y"":66.76286923555111}},{""Position"":{""X"":69.2964082867245,""Y"":80.07066214402208}}]"
0,229.93978541344404,373.3045072672089,0,0,"[{""Position"":{""X"":29.42298126220703,""Y"":-33.018348693847656}},{""Position"":{""X"":-38.91856384277344,""Y"":28.099849700927734}},{""Position"":{""X"":43.68508616319728,""Y"":14.351383423306503}},{""Position"":{""X"":57.43205243225037,""Y"":28.098349692359594}},{""Position"":{""X"":33.69119350453295,""Y"":51.83920862007702}}]"
0,229.19188230633736,283.4141123917233,0,0,"[{""Position"":{""X"":0.8617066100127414,""Y"":0.8617066100127414}},{""Position"":{""X"":45.603427250188346,""Y"":0.8617066100127414}},{""Position"":{""X"":-150.37197017669678,""Y"":-106.50339865684509}},{""Position"":{""X"":435.8581008911133,""Y"":-418.11683464050293}},{""Position"":{""X"":-228.92485809326172,""Y"":793.0389270782471}}]"
0,186.4252640247345,662.139476037763,0,0,"[{""Position"":{""X"":-43.56434717143015,""Y"":43.56434717143016}},{""Position"":{""X"":-17.659109438298238,""Y"":69.46958490456207}},{""Position"":{""X"":-2.5299095073018645,""Y"":69.46958490456207}},{""Position"":{""X"":25.590893023347505,""Y"":69.46958490456207}},{""Position"":{""X"":22.62124003503989,""Y"":72.43923789286968}}]"
0,243.49056634902954,640.9678848135193,0,0,"[{""Position"":{""X"":22.135146037219823,""Y"":22.135146037219823}},{""Position"":{""X"":46.619503222981706,""Y"":22.135146037219823}},{""Position"":{""X"":83.46365843263263,""Y"":58.97930124687075}},{""Position"":{""X"":36.372825710596445,""Y"":106.07013396890693}},{""Position"":{""X"":22.195014988633748,""Y"":120.24794469086963}}]"
0,241.42314624786377,998.874476551845,0,0,"[{""Position"":{""X"":3.4867556215414814E-15,""Y"":56.943040621493424}},{""Position"":{""X"":6.813528510638637E-15,""Y"":111.27336494706034}},{""Position"":{""X"":-16.258332204857858,""Y"":127.53169715191821}},{""Position"":{""X"":16.07404391095986,""Y"":127.53169715191821}},{""Position"":{""X"":8.189230748269724,""Y"":135.41651031460833}}]"
0,185.09847679138184,554.1855334593513,0,0,"[{""Position"":{""X"":-28.85971387178135,""Y"":28.859713871781352}},{""Position"":{""X"":-8.962310501997713,""Y"":28.859713871781352}},{""Position"":{""X"":55.98861537825352,""Y"":28.859713871781352}},{""Position"":{""X"":55.98861537825352,""Y"":66.76286923555111}},{""Position"":{""X"":69.2964082867245,""Y"":80.07066214402208}}]"
